order_id,created_at,channel,gross,currency,customer_email
LU-29486954,2026-01-24T01:14:00Z,Meta,144.18,EUR,c1982@example.invalid
LU-29487056,2026-01-24T02:56:00Z,Newsletter,37.05,EUR,c1955@example.invalid
LU-29487097,2026-01-24T03:37:00Z,Meta,183.22,EUR,c3448@example.invalid
LU-29487151,2026-01-24T04:31:00Z,Direct,129.96,EUR,c2440@example.invalid
LU-29487198,2026-01-24T05:18:00Z,Google,20.67,EUR,c1913@example.invalid
LU-29487268,2026-01-24T06:28:00Z,Direct,182.13,EUR,c2527@example.invalid
LU-29487359,2026-01-24T07:59:00Z,Meta,105.37,EUR,c535@example.invalid
LU-29487442,2026-01-24T09:22:00Z,Direct,209.47,EUR,c1477@example.invalid
LU-29487544,2026-01-24T11:04:00Z,Google,163.01,EUR,c2909@example.invalid
LU-29487590,2026-01-24T11:50:00Z,Google,155.27,EUR,c1832@example.invalid
LU-29487642,2026-01-24T12:42:00Z,Newsletter,21.97,EUR,c3050@example.invalid
LU-29487733,2026-01-24T14:13:00Z,Newsletter,175.06,EUR,c1342@example.invalid
LU-29487768,2026-01-24T14:48:00Z,Newsletter,76.65,EUR,c1228@example.invalid
LU-29487788,2026-01-24T15:08:00Z,Newsletter,74.54,EUR,c2896@example.invalid
LU-29487868,2026-01-24T16:28:00Z,Meta,207.42,EUR,c3062@example.invalid
LU-29487943,2026-01-24T17:43:00Z,Google,134.07,EUR,c1696@example.invalid
LU-29488013,2026-01-24T18:53:00Z,Direct,119.75,EUR,c720@example.invalid
LU-29488061,2026-01-24T19:41:00Z,Google,166.99,EUR,c3151@example.invalid
LU-29488157,2026-01-24T21:17:00Z,Direct,79.36,EUR,c3876@example.invalid
LU-29488236,2026-01-24T22:36:00Z,Newsletter,100.96,EUR,c977@example.invalid
LU-29488266,2026-01-24T23:06:00Z,Google,129.42,EUR,c1066@example.invalid
LU-29488373,2026-01-25T00:53:00Z,Google,137.75,EUR,c1129@example.invalid
LU-29488442,2026-01-25T02:02:00Z,Newsletter,52.55,EUR,c780@example.invalid
LU-29488516,2026-01-25T03:16:00Z,Direct,109.08,EUR,c3139@example.invalid
LU-29488614,2026-01-25T04:54:00Z,Meta,199.85,EUR,c3616@example.invalid
LU-29488644,2026-01-25T05:24:00Z,Newsletter,140.35,EUR,c3187@example.invalid
LU-29488720,2026-01-25T06:40:00Z,Google,39.10,EUR,c1030@example.invalid
LU-29488782,2026-01-25T07:42:00Z,Google,46.30,EUR,c1100@example.invalid
LU-29488818,2026-01-25T08:18:00Z,Google,81.68,EUR,c3525@example.invalid
LU-29488866,2026-01-25T09:06:00Z,Google,144.33,EUR,c2229@example.invalid
LU-29488913,2026-01-25T09:53:00Z,Direct,177.38,EUR,c1302@example.invalid
LU-29489008,2026-01-25T11:28:00Z,Newsletter,60.55,EUR,c393@example.invalid
