order_id,created_at,channel,gross,currency,customer_email
NO-29486901,2026-01-24T00:21:00Z,facebook,52.36,USD,c3416@example.invalid
NO-29486921,2026-01-24T00:41:00Z,google,76.48,USD,c1638@example.invalid
NO-29486944,2026-01-24T01:04:00Z,facebook,210.10,USD,c1928@example.invalid
NO-29486968,2026-01-24T01:28:00Z,facebook,142.85,USD,c376@example.invalid
NO-29487073,2026-01-24T03:13:00Z,facebook,181.54,USD,c809@example.invalid
NO-29487107,2026-01-24T03:47:00Z,facebook,132.16,USD,c1251@example.invalid
NO-29487147,2026-01-24T04:27:00Z,google,121.01,USD,c232@example.invalid
NO-29487194,2026-01-24T05:14:00Z,direct,210.31,USD,c2421@example.invalid
NO-29487259,2026-01-24T06:19:00Z,email,51.68,USD,c2380@example.invalid
NO-29487365,2026-01-24T08:05:00Z,facebook,110.49,USD,c2476@example.invalid
NO-29487415,2026-01-24T08:55:00Z,direct,42.89,USD,c644@example.invalid
NO-29487438,2026-01-24T09:18:00Z,google,196.23,USD,c3753@example.invalid
NO-29487506,2026-01-24T10:26:00Z,google,161.04,USD,c257@example.invalid
NO-29487551,2026-01-24T11:11:00Z,google,38.17,USD,c233@example.invalid
NO-29487625,2026-01-24T12:25:00Z,google,172.10,USD,c3728@example.invalid
NO-29487671,2026-01-24T13:11:00Z,facebook,153.76,USD,c518@example.invalid
NO-29487744,2026-01-24T14:24:00Z,google,97.66,USD,c3798@example.invalid
NO-29487838,2026-01-24T15:58:00Z,google,211.93,USD,c2931@example.invalid
NO-29487944,2026-01-24T17:44:00Z,google,52.87,USD,c1546@example.invalid
NO-29488027,2026-01-24T19:07:00Z,direct,42.69,USD,c1109@example.invalid
NO-29488126,2026-01-24T20:46:00Z,facebook,83.60,USD,c3720@example.invalid
NO-29488156,2026-01-24T21:16:00Z,email,25.24,USD,c56@example.invalid
NO-29488257,2026-01-24T22:57:00Z,facebook,88.91,USD,c2615@example.invalid
NO-29488280,2026-01-24T23:20:00Z,facebook,67.54,USD,c1534@example.invalid
NO-29488336,2026-01-25T00:16:00Z,facebook,100.29,USD,c2846@example.invalid
NO-29488368,2026-01-25T00:48:00Z,facebook,188.36,USD,c1923@example.invalid
NO-29488473,2026-01-25T02:33:00Z,google,80.03,USD,c393@example.invalid
NO-29488533,2026-01-25T03:33:00Z,google,104.76,USD,c520@example.invalid
NO-29488630,2026-01-25T05:10:00Z,facebook,173.43,USD,c1348@example.invalid
NO-29488655,2026-01-25T05:35:00Z,direct,167.37,USD,c2744@example.invalid
NO-29488716,2026-01-25T06:36:00Z,direct,29.32,USD,c1612@example.invalid
NO-29488752,2026-01-25T07:12:00Z,facebook,123.33,USD,c755@example.invalid
NO-29488860,2026-01-25T09:00:00Z,direct,65.67,USD,c675@example.invalid
NO-29488900,2026-01-25T09:40:00Z,google,72.29,USD,c2712@example.invalid
NO-29489003,2026-01-25T11:23:00Z,google,53.56,USD,c3108@example.invalid
NO-29489082,2026-01-25T12:42:00Z,facebook,210.92,USD,c3821@example.invalid
NO-29489147,2026-01-25T13:47:00Z,facebook,26.77,USD,c2001@example.invalid
NO-29489168,2026-01-25T14:08:00Z,email,116.67,USD,c2065@example.invalid
NO-29489277,2026-01-25T15:57:00Z,google,202.47,USD,c3745@example.invalid
NO-29489372,2026-01-25T17:32:00Z,email,43.35,USD,c489@example.invalid
NO-29489418,2026-01-25T18:18:00Z,email,185.19,USD,c590@example.invalid
NO-29489455,2026-01-25T18:55:00Z,direct,171.72,USD,c842@example.invalid
NO-29489508,2026-01-25T19:48:00Z,google,97.57,USD,c1584@example.invalid
NO-29489605,2026-01-25T21:25:00Z,google,139.30,USD,c2191@example.invalid
NO-29489648,2026-01-25T22:08:00Z,google,89.57,USD,c1700@example.invalid
NO-29489685,2026-01-25T22:45:00Z,google,181.44,USD,c2139@example.invalid
NO-29489707,2026-01-25T23:07:00Z,google,187.84,USD,c1865@example.invalid
NO-29489754,2026-01-25T23:54:00Z,direct,46.63,USD,c959@example.invalid
NO-29489777,2026-01-26T00:17:00Z,facebook,72.75,USD,c2720@example.invalid
NO-29489856,2026-01-26T01:36:00Z,direct,99.16,USD,c3517@example.invalid
NO-29489964,2026-01-26T03:24:00Z,direct,128.44,USD,c3379@example.invalid
NO-29489991,2026-01-26T03:51:00Z,email,81.78,USD,c277@example.invalid
NO-29490061,2026-01-26T05:01:00Z,email,160.19,USD,c4@example.invalid
NO-29490166,2026-01-26T06:46:00Z,direct,130.79,USD,c3249@example.invalid
NO-29490244,2026-01-26T08:04:00Z,facebook,118.17,USD,c74@example.invalid
NO-29490336,2026-01-26T09:36:00Z,direct,82.91,USD,c62@example.invalid
NO-29490404,2026-01-26T10:44:00Z,google,118.57,USD,c1159@example.invalid
NO-29490443,2026-01-26T11:23:00Z,facebook,90.54,USD,c929@example.invalid
NO-29490476,2026-01-26T11:56:00Z,email,142.24,USD,c2180@example.invalid
NO-29490571,2026-01-26T13:31:00Z,direct,116.09,USD,c2294@example.invalid
NO-29490653,2026-01-26T14:53:00Z,email,166.94,USD,c3775@example.invalid
NO-29490699,2026-01-26T15:39:00Z,email,60.77,USD,c3735@example.invalid
NO-29490725,2026-01-26T16:05:00Z,direct,190.21,USD,c3149@example.invalid
NO-29490834,2026-01-26T17:54:00Z,email,112.62,USD,c2994@example.invalid
NO-29490865,2026-01-26T18:25:00Z,email,177.53,USD,c1431@example.invalid
NO-29490910,2026-01-26T19:10:00Z,email,57.64,USD,c3747@example.invalid
NO-29490983,2026-01-26T20:23:00Z,google,51.65,USD,c2656@example.invalid
NO-29491054,2026-01-26T21:34:00Z,email,149.86,USD,c106@example.invalid
NO-29491142,2026-01-26T23:02:00Z,google,82.28,USD,c174@example.invalid
NO-29491162,2026-01-26T23:22:00Z,direct,58.88,USD,c1081@example.invalid
NO-29491232,2026-01-27T00:32:00Z,google,45.96,USD,c2075@example.invalid
NO-29491306,2026-01-27T01:46:00Z,direct,65.46,USD,c1708@example.invalid
NO-29491346,2026-01-27T02:26:00Z,direct,107.19,USD,c2412@example.invalid
NO-29491438,2026-01-27T03:58:00Z,direct,138.58,USD,c437@example.invalid
NO-29491477,2026-01-27T04:37:00Z,email,58.28,USD,c3513@example.invalid
NO-29491538,2026-01-27T05:38:00Z,direct,188.67,USD,c713@example.invalid
NO-29491561,2026-01-27T06:01:00Z,google,122.50,USD,c3404@example.invalid
NO-29491633,2026-01-27T07:13:00Z,email,105.29,USD,c1392@example.invalid
NO-29491681,2026-01-27T08:01:00Z,email,182.26,USD,c1243@example.invalid
NO-29491779,2026-01-27T09:39:00Z,direct,138.81,USD,c306@example.invalid
NO-29491812,2026-01-27T10:12:00Z,google,89.02,USD,c1322@example.invalid
NO-29491852,2026-01-27T10:52:00Z,email,98.48,USD,c676@example.invalid
NO-29491887,2026-01-27T11:27:00Z,facebook,38.66,USD,c3686@example.invalid
NO-29491931,2026-01-27T12:11:00Z,facebook,207.17,USD,c1601@example.invalid
NO-29491986,2026-01-27T13:06:00Z,facebook,57.62,USD,c1954@example.invalid
NO-29492093,2026-01-27T14:53:00Z,email,157.25,USD,c41@example.invalid
NO-29492153,2026-01-27T15:53:00Z,email,109.45,USD,c3666@example.invalid
NO-29492233,2026-01-27T17:13:00Z,google,97.84,USD,c3811@example.invalid
NO-29492328,2026-01-27T18:48:00Z,email,128.68,USD,c1463@example.invalid
NO-29492436,2026-01-27T20:36:00Z,google,109.53,USD,c3593@example.invalid
NO-29492470,2026-01-27T21:10:00Z,direct,55.83,USD,c3023@example.invalid
NO-29492524,2026-01-27T22:04:00Z,google,54.74,USD,c2153@example.invalid
NO-29492590,2026-01-27T23:10:00Z,direct,105.79,USD,c5@example.invalid
NO-29492651,2026-01-28T00:11:00Z,google,180.20,USD,c2177@example.invalid
NO-29492698,2026-01-28T00:58:00Z,facebook,157.12,USD,c3427@example.invalid
NO-29492729,2026-01-28T01:29:00Z,google,125.19,USD,c2992@example.invalid
NO-29492796,2026-01-28T02:36:00Z,facebook,163.10,USD,c1948@example.invalid
NO-29492858,2026-01-28T03:38:00Z,google,195.55,USD,c2226@example.invalid
NO-29492953,2026-01-28T05:13:00Z,google,107.86,USD,c3217@example.invalid
NO-29493016,2026-01-28T06:16:00Z,direct,60.41,USD,c3778@example.invalid
NO-29493098,2026-01-28T07:38:00Z,direct,212.67,USD,c463@example.invalid
NO-29493146,2026-01-28T08:26:00Z,facebook,198.24,USD,c2460@example.invalid
NO-29493251,2026-01-28T10:11:00Z,email,89.94,USD,c2395@example.invalid
NO-29493302,2026-01-28T11:02:00Z,direct,196.48,USD,c3459@example.invalid
NO-29493354,2026-01-28T11:54:00Z,email,172.11,USD,c2575@example.invalid
NO-29493385,2026-01-28T12:25:00Z,google,208.37,USD,c2739@example.invalid
NO-29493485,2026-01-28T14:05:00Z,direct,185.99,USD,c260@example.invalid
NO-29493565,2026-01-28T15:25:00Z,google,33.52,USD,c2239@example.invalid
NO-29493599,2026-01-28T15:59:00Z,direct,37.17,USD,c3338@example.invalid
NO-29493693,2026-01-28T17:33:00Z,direct,140.97,USD,c1481@example.invalid
NO-29493727,2026-01-28T18:07:00Z,facebook,64.29,USD,c2580@example.invalid
NO-29493759,2026-01-28T18:39:00Z,facebook,130.01,USD,c2539@example.invalid
NO-29493826,2026-01-28T19:46:00Z,email,66.56,USD,c1298@example.invalid
NO-29493848,2026-01-28T20:08:00Z,google,125.36,USD,c1012@example.invalid
NO-29493900,2026-01-28T21:00:00Z,facebook,182.95,USD,c3878@example.invalid
NO-29494003,2026-01-28T22:43:00Z,email,41.92,USD,c1921@example.invalid
NO-29494047,2026-01-28T23:27:00Z,google,194.58,USD,c2611@example.invalid
NO-29494112,2026-01-29T00:32:00Z,facebook,63.11,USD,c2408@example.invalid
NO-29494193,2026-01-29T01:53:00Z,facebook,138.78,USD,c511@example.invalid
NO-29494245,2026-01-29T02:45:00Z,google,183.11,USD,c2870@example.invalid
NO-29494315,2026-01-29T03:55:00Z,facebook,149.78,USD,c2513@example.invalid
NO-29494358,2026-01-29T04:38:00Z,google,167.77,USD,c3854@example.invalid
NO-29494385,2026-01-29T05:05:00Z,email,49.29,USD,c3297@example.invalid
NO-29494417,2026-01-29T05:37:00Z,google,67.83,USD,c1573@example.invalid
NO-29494450,2026-01-29T06:10:00Z,facebook,157.58,USD,c1300@example.invalid
NO-29494492,2026-01-29T06:52:00Z,email,191.64,USD,c3036@example.invalid
NO-29494519,2026-01-29T07:19:00Z,email,138.17,USD,c2953@example.invalid
NO-29494555,2026-01-29T07:55:00Z,facebook,125.98,USD,c2253@example.invalid
NO-29494647,2026-01-29T09:27:00Z,direct,119.75,USD,c2591@example.invalid
NO-29494684,2026-01-29T10:04:00Z,email,80.25,USD,c797@example.invalid
NO-29494787,2026-01-29T11:47:00Z,email,22.65,USD,c1902@example.invalid
NO-29494826,2026-01-29T12:26:00Z,email,70.71,USD,c1526@example.invalid
NO-29494913,2026-01-29T13:53:00Z,facebook,219.16,USD,c839@example.invalid
NO-29494943,2026-01-29T14:23:00Z,facebook,118.56,USD,c1036@example.invalid
NO-29495021,2026-01-29T15:41:00Z,email,158.70,USD,c994@example.invalid
NO-29495044,2026-01-29T16:04:00Z,email,165.15,USD,c772@example.invalid
NO-29495084,2026-01-29T16:44:00Z,email,194.83,USD,c3001@example.invalid
NO-29495193,2026-01-29T18:33:00Z,google,64.70,USD,c1854@example.invalid
NO-29495261,2026-01-29T19:41:00Z,direct,24.26,USD,c269@example.invalid
NO-29495331,2026-01-29T20:51:00Z,facebook,33.30,USD,c2986@example.invalid
NO-29495430,2026-01-29T22:30:00Z,direct,169.73,USD,c2531@example.invalid
NO-29495503,2026-01-29T23:43:00Z,email,83.44,USD,c274@example.invalid
